country,week,date,cases,deaths,new_cases,new_deaths
COD,1,2018-08-03,43,33,NA,NA
COD,2,2018-08-11,52,39,9,6
COD,3,2018-08-18,91,50,39,11
COD,4,2018-08-25,111,72,20,22
COD,5,2018-09-01,120,80,9,8
COD,6,2018-09-08,131,90,11,10
COD,7,2018-09-15,142,97,11,7
COD,8,2018-09-22,149,100,7,3
COD,9,2018-09-29,159,104,10,4
COD,10,2018-10-06,177,113,18,9
COD,11,2018-10-13,211,135,34,22
COD,12,2018-10-20,237,153,26,18
COD,13,2018-10-27,267,170,30,17
COD,14,2018-11-03,298,186,31,16
COD,15,2018-11-10,329,205,31,19
COD,16,2018-11-17,366,214,37,9
COD,17,2018-11-24,412,236,46,22
COD,18,2018-12-01,440,255,28,19
COD,19,2018-12-08,494,283,54,28
COD,20,2018-12-15,531,313,37,30
COD,21,2018-12-22,574,347,43,34
COD,22,2018-12-29,596,361,22,14
COD,23,2019-01-05,623,374,27,13
COD,24,2019-01-12,644,392,21,18
COD,25,2019-01-19,685,419,41,27
COD,26,2019-01-26,733,459,48,40
COD,27,2019-02-02,774,481,41,22
COD,28,2019-02-09,811,510,37,29
COD,29,2019-02-16,838,534,27,24
COD,30,2019-02-23,869,546,31,12
COD,31,2019-03-02,894,561,25,15
COD,32,2019-03-09,921,582,27,21
COD,33,2019-03-16,951,598,30,16
COD,34,2019-03-23,1009,629,58,31
COD,35,2019-03-30,1082,676,73,47
COD,36,2019-04-06,1146,721,64,45
COD,37,2019-04-13,1251,803,105,82
COD,38,2019-04-20,1336,870,85,67
COD,39,2019-04-27,1439,931,103,61
COD,40,2019-05-04,1554,1029,115,98
COD,41,2019-05-11,1680,1117,126,88
COD,42,2019-05-18,1816,1209,136,92
COD,43,2019-05-25,1912,1277,96,68
COD,44,2019-06-01,1994,1339,82,62
COD,45,2019-06-08,2056,1384,62,45
COD,46,2019-06-15,2148,1440,92,56
COD,47,2019-06-22,2239,1506,91,66
COD,48,2019-06-29,2325,1563,86,57
COD,49,2019-07-06,2408,1625,83,62
COD,50,2019-07-13,2489,1665,81,40
COD,51,2019-07-20,2578,1737,89,72
COD,52,2019-07-21,2592,1743,14,6
COD,53,2019-08-03,2753,1843,161,100
COD,54,2019-08-10,2816,1888,63,45
COD,55,2019-08-17,2877,1934,61,46
COD,56,2019-08-24,2968,1986,91,52
COD,57,2019-08-31,3031,2031,63,45
COD,58,2019-09-07,3079,2064,48,33
COD,59,2019-09-14,3125,2095,46,31
COD,60,2019-09-21,3164,2115,39,20
COD,61,2019-09-28,3188,2129,24,14
COD,62,2019-10-05,3204,2142,16,13
COD,63,2019-10-12,3218,2150,14,8
COD,64,2019-10-19,3239,2169,21,19
COD,65,2019-10-26,3263,2180,24,11
COD,66,2019-11-02,3274,2185,11,5
COD,67,2019-11-09,3287,2193,13,8
COD,68,2019-11-16,3292,2195,5,2
COD,69,2019-11-23,3301,2198,9,3
COD,70,2019-11-30,3313,2203,12,5
COD,71,2019-12-07,3320,2209,7,6
COD,72,2019-12-14,3346,2213,26,4
COD,73,2019-12-21,3358,2224,12,11
COD,74,2019-12-28,3374,2232,16,8
COD,75,2020-01-04,3388,2233,14,1
COD,76,2020-01-11,3395,2235,7,2
COD,77,2020-01-13,3403,2236,8,1
